symbol,sector,market_cap
EPACKPEB.NS,Industrials,2053
EPIGRAL.NS,Basic Materials,5875
EPL.NS,Consumer Cyclical,7273
EQUIPPP.NS,Technology,175
EQUITASBNK.NS,Financial Services,8402
ERIS.NS,Healthcare,18685
ESABINDIA.NS,Industrials,10411
ESAFSFB.NS,Financial Services,1366
ESCORTS.NS,Industrials,35825
ESSARSHPNG.NS,Industrials,565
ESSENTIA.NS,Consumer Defensive,140
ESTER.NS,Basic Materials,891
ETERNAL.NS,Consumer Cyclical,229736
ETHOSLTD.NS,Consumer Cyclical,6407
EUREKAFORB.NS,Consumer Cyclical,9732
EUROBOND.NS,Industrials,426
EUROPRATIK.NS,Basic Materials,2791
EUROTEXIND.NS,Real Estate,18
EVEREADY.NS,Industrials,2425
EVERESTIND.NS,Industrials,664
EXCELINDUS.NS,Basic Materials,1229
EXCELSOFT.NS,Technology,1070
EXICOM.NS,Industrials,1593
EXIDEIND.NS,Consumer Cyclical,31853
EXPLEOSOL.NS,Technology,1295
EXXARO.NS,Industrials,306
FABTECH.NS,Healthcare,741
FACT.NS,Basic Materials,58728
FAIRCHEMOR.NS,Basic Materials,743
FAZE3Q.NS,Consumer Cyclical,1080
FCL.NS,Basic Materials,2721
FCONSUMER.NS,Consumer Defensive,69
FCSSOFT.NS,Technology,285
FDC.NS,Healthcare,5971
FEDDERSHOL.NS,,0
FEDERALBNK.NS,Financial Services,71285
FEDFINA.NS,Financial Services,5519
FEL.NS,Consumer Cyclical,23
FELDVR.NS,Consumer Cyclical,139
FERMENTA.NS,,0
FIBERWEB.NS,Consumer Cyclical,109
FIEMIND.NS,Consumer Cyclical,5977
FILATEX.NS,Consumer Cyclical,2048
FILATFASH.NS,Consumer Cyclical,208
FINCABLES.NS,Industrials,15431
FINEORG.NS,Basic Materials,14374
FINKURVE.NS,Financial Services,1032
FINOPB.NS,Financial Services,1070
FINPIPE.NS,Industrials,10808
FIRSTCRY.NS,Consumer Cyclical,11639
FISCHER.NS,Healthcare,2473
FIVESTAR.NS,Financial Services,14106
