symbol,price,market_cap,sector
BIRLAPREC.NS,34.0,0,
BLACKBUCK.NS,548.0,9967,Technology
BLACKROSE.NS,85.45,0,
BLAL.NS,191.17,796,Financial Services
BLIL.NS,72.8,0,
BLISSGVS.NS,276.5,2925,Healthcare
BLKASHYAP.NS,57.16,1288,Industrials
BLS.NS,277.5,11424,Industrials
BLSE.NS,197.0,1785,Industrials
BLUECOAST.NS,31.09,53,Consumer Cyclical
BLUEDART.NS,5454.2,12941,Industrials
BLUEJET.NS,443.4,7691,Healthcare
BLUESTARCO.NS,1781.0,36616,Industrials
BLUESTONE.NS,504.3,7683,Consumer Cyclical
BLUSPRING.NS,65.0,971,Industrials
BMWVENTLTD.NS,63.95,554,Basic Materials
BNAGROCHEM.NS,246.95,0,
BNALTD.NS,400.0,0,
BODALCHEM.NS,67.12,845,Basic Materials
BOMDYEING.NS,113.01,2334,Consumer Cyclical
BONLON.NS,51.3,84,Basic Materials
BORANA.NS,346.0,921,Consumer Cyclical
BOROLTD.NS,245.05,2930,Consumer Cyclical
BORORENEW.NS,503.0,7051,Technology
BOROSCI.NS,115.1,1023,Consumer Cyclical
BOSCH-HCIL.NS,1389.0,3776,Consumer Cyclical
BOSCHLTD.NS,36145.0,106604,Consumer Cyclical
BPCL.NS,301.7,130892,Energy
BPL.NS,55.61,272,Technology
BRIGADE.NS,786.3,19232,Real Estate
BRIGHOTEL.NS,66.82,2538,Consumer Cyclical
BRITANNIA.NS,5729.0,137993,Consumer Defensive
BRNL.NS,20.98,176,Industrials
BROOKS.NS,56.16,165,Healthcare
BSE.NS,3635.0,147627,Financial Services
BSHSL.NS,98.0,1028,Basic Materials
BSL.NS,124.71,128,Consumer Cyclical
BSOFT.NS,369.0,10313,Technology
BTTL.NS,33.75,0,Consumer Cyclical
BUILDPRO.NS,1113.95,2701,Consumer Cyclical
BUTTERFLY.NS,596.0,1065,Consumer Cyclical
BVCL.NS,45.85,101,Basic Materials
BYKE.NS,36.83,192,Consumer Cyclical
CAMLINFINE.NS,127.35,2446,Basic Materials
CAMPUS.NS,249.9,7636,Consumer Cyclical
CAMS.NS,740.0,18350,Technology
CANBK.NS,134.7,122181,Financial Services
CANFINHOME.NS,871.0,11597,Financial Services
CANHLIFE.NS,140.82,13342,Financial Services
CANTABIL.NS,241.12,2016,Consumer Cyclical
CAPACITE.NS,252.5,2136,Industrials
CAPILLARY.NS,551.5,4374,Technology
CAPITALSFB.NS,280.0,1271,Financial Services
CAPLIPOINT.NS,1705.0,12959,Healthcare
CARBORUNIV.NS,958.0,18249,Industrials
